id,rank,list,lemma,variants,pos,gender,sense_count,gloss,freq
core_000001,1,core,de,,article,,1,the,99.92
core_000002,2,core,en,,conj,,1,and,99.8
core_000003,3,core,in,,prep,,1,in,99.79
core_000004,4,core,van,,prep,,1,of,99.78
core_000005,5,core,op,,prep,,1,on,99.73
core_000006,6,core,zijn,,verb,,1,to be,99.7
core_000007,7,core,het,’t,article|pron,,2,the|it,99.68
core_000008,8,core,een,,article,,1,a,99.66
core_000009,9,core,voor,,prep,,2,for|in front of,99.61
core_000010,10,core,die,,pron,,2,"that, those|that, who",99.55
core_000011,11,core,met,,prep,,1,with,99.55
core_000012,12,core,te,,prep,,1,to,99.53
core_000013,13,core,hebben,,verb,,1,to have,99.47
core_000014,14,core,niet,,adv,,1,not,99.3
core_000015,15,core,aan,,prep,,1,to,99.22
core_000016,16,core,ook,,adv,,1,also,99.22
core_000017,17,core,er,,adv,,1,there,99.17
core_000018,18,core,als,,conj,,1,when,99.01
core_000019,19,core,veel,,num,,1,much,98.95
core_000020,20,core,kunnen,,verb,,1,to be able,98.93
core_000021,21,core,dat,,conj,,1,that,98.85
core_000022,22,core,om,,prep,,1,(a)round,98.81
core_000023,23,core,worden,,verb,,1,to be,98.6
core_000024,24,core,dat,,pron,,1,that,98.02
core_000025,25,core,nog,,adv,,1,still,97.91
core_000026,26,core,maar,,conj,,1,but,97.88
core_000027,27,core,bij,,prep,,1,near (to),97.86
core_000028,28,core,zij,ze,pron,,2,she|they,97.39
core_000029,29,core,naar,,prep,,1,to,97.32
core_000030,30,core,uit,,prep,,1,from,97.19
core_000031,31,core,gaan,,verb,,1,to go,96.79
core_000032,32,core,komen,,verb,,1,to come,96.67
core_000033,33,core,zullen,,verb,,1,will,96.2
core_000034,34,core,of,,conj,,1,or,96.01
core_000035,35,core,over,,prep,,2,over|about,95.76
core_000036,36,core,moeten,,verb,,1,"to have to, must",95.47
core_000037,37,core,door,,prep,,1,through,95.39
core_000038,38,core,al,,adv,,1,already,94.98
core_000039,39,core,geen,,pron,,1,no,93.48
core_000040,40,core,dan,,adv,,1,then,93.08
core_000041,41,core,goed,,adj,,1,good,92.84
core_000042,42,core,wel,,adv,,1,~ rather,92.83
core_000043,43,core,maken,,verb,,2,to make|to repair,92.66
core_000044,44,core,tot,,prep,,1,to,91.86
core_000045,45,core,hij,,pron,,1,he,91.75
core_000046,46,core,wat,,pron,,1,what,91.68
core_000047,47,core,zo,,adv,,1,so,90.88
core_000048,48,core,nu,,adv,,1,now,90.05
core_000049,49,core,zijn,z’n,pron,,1,his,89.88
core_000050,50,core,jaar,,noun,het,1,year,89.77
core_000051,51,core,ander,,adj,,1,other,89.65
core_000052,52,core,doen,,verb,,1,to do,89.62
core_000053,53,core,dit,,pron,,1,this,89.27
core_000054,54,core,willen,,verb,,1,to want,89.04
core_000055,55,core,zich,,pron,,1,"herself, himself, itself, themselves",88.38
core_000056,56,core,staan,,verb,,1,to stand,88.27
core_000057,57,core,zien,,verb,,1,to see,87.06
core_000058,58,core,zeggen,,verb,,1,to say,86.92
core_000059,59,core,krijgen,,verb,,1,to get,85.65
core_000060,60,core,wij,we,pron,,1,we,85.63
core_000061,61,core,groot,,adj,,2,big|great,85.32
core_000062,62,core,na,,prep,,1,after,84.77
core_000063,63,core,hun,,pron,,3,their|(t|them,84.13
core_000064,64,core,ik,,pron,,1,I,83.58
core_000065,65,core,deze,,pron,,1,"this, these",83.14
