Es wäre {{c1::für mich unmöglich::for me impossible}}, ohne Kaffee zu leben.;It would be impossible for me to live without coffee.;Sarebbe impossibile per me vivere senza caffè.;Es wäre für mich unmöglich, ohne Kaffee zu leben.
Sie lachen {{c1::über::about}} den Witz.;They are laughing about the joke.;Stanno ridendo della battuta.;Sie lachen über den Witz.
Er ist nicht {{c1::fähig::able}}, früh aufzustehen.;He isn't able to get up early.;Non è in grado di alzarsi presto.;Er ist nicht fähig, früh aufzustehen.
Ich konnte ihn in der Menge kaum {{c1::erkennen::to recognize}}.;I could hardly recognize him in the crowd.;Riuscivo a malapena a riconoscerlo tra la folla.;Ich konnte ihn in der Menge kaum erkennen.
Ich muss das Dokument noch {{c1::bearbeiten::to edit}}.;I still have to edit the document.;Devo ancora modificare il documento.;Ich muss das Dokument noch bearbeiten.
Hast du die Datei schon {{c1::gespeichert::saved}}?;Have you saved the file yet?;Hai già salvato il file?;Hast du die Datei schon gespeichert?
{{c1::Sobald::as soon as}} jemand deinen Artikel gekauft hat, benachrichtigen wir dich.;As soon as someone has bought your article, we will notify you.;Non appena qualcuno avrà comprato il tuo articolo, ti avviseremo.;Sobald jemand deinen Artikel gekauft hat, benachrichtigen wir dich.
Das ist völlig {{c1::unnötig::unnecessary}}.;That is completely unnecessary.;È completamente inutile.;Das ist völlig unnötig.
Es ist {{c1::sinnlos::pointless}}, weiter zu diskutieren.;It's pointless to keep arguing.;È inutile continuare a discutere.;Es ist sinnlos, weiter zu diskutieren.
Diese alten Kabel sind völlig {{c1::unnütz::useless}}.;These old cables are completely useless.;Questi vecchi cavi sono del tutto inutili.;Diese alten Kabel sind völlig unnütz.
Ist es wirklich {{c1::notwendig::necessary}}, heute noch zu fahren?;Is it really necessary to drive today?;È davvero necessario partire oggi?;Ist es wirklich notwendig, heute noch zu fahren?
Die Möbel werden in Deutschland {{c1::hergestellt::produced}}.;The furniture is produced in Germany.;I mobili vengono prodotti in Germania.;Die Möbel werden in Deutschland hergestellt.
Gestern war ich {{c1::auf einem Konzert::at a concert}}.;Yesterday I was at a concert.;Ieri ero a un concerto.;Gestern war ich auf einem Konzert.
Dieser Job hat viele {{c1::Vorteile::advantages}}.;This job has many advantages.;Questo lavoro ha molti vantaggi.;Dieser Job hat viele Vorteile.
Welche Erinnerungen {{c1::verbindest::associate}} du mit diesem Lied?;What memories do you associate with this song?;Quali ricordi associ a questa canzone?;Welche Erinnerungen verbindest du mit diesem Lied?
Der {{c1::Staubsauger::vacuum cleaner}} ist heute im Angebot.;The vacuum cleaner is on sale today.;L'aspirapolvere è in offerta oggi.;Der Staubsauger ist heute im Angebot.
Dieses Thema ist für mich {{c1::besonders::especially}} wichtig.;This topic is especially important to me.;Questo tema è particolarmente importante per me.;Dieses Thema ist für mich besonders wichtig.
Ich {{c1::brauche::need}} deine Hilfe {{c2::unbedingt::absolutely}}.;I absolutely need your help.;Ho assolutamente bisogno del tuo aiuto.;Ich brauche deine Hilfe unbedingt.
Sie muss den Antrag bis Freitag {{c1::einreichen::submit}}.;She has to submit the application by Friday.;Deve presentare la domanda entro venerdì.;Sie muss den Antrag bis Freitag einreichen.
Ich brauche die {{c1::genaue::exact}} Adresse.;I need the exact address.;Ho bisogno dell'indirizzo esatto.;Ich brauche die genaue Adresse.
Er versucht, seine Angst {{c1::vor::prep+dat}} den Kindern zu {{c2::verbergen::to hide}}.;He tries to hide his fear from the children.;Cerca di nascondere la sua paura ai bambini.;Er versucht, seine Angst vor den Kindern zu verbergen.
Das war eine Woche {{c1::her::ago}}.;That was a week ago.;Era una settimana fa.;Das war eine Woche her.
Das klingt {{c1::nach::like}} einer guten Idee.;That sounds like a good idea.;Sembra una buona idea.;Das klingt nach einer guten Idee.
Ich will mir heute ein Video {{c1::ansehen::to watch}}.;I want to watch a video today.;Oggi voglio guardare un video.;Ich will mir heute ein Video ansehen.
Ich helfe dir, aber {{c1::nur unter einer Bedingung::only under one condition}}.;I'll help you, but only under one condition.;Ti aiuto, ma solo a una condizione.;Ich helfe dir, aber nur unter einer Bedingung.
Die {{c1::Veranstaltung::event}} beginnt um acht Uhr.;The event starts at eight o'clock.;L'evento inizia alle otto.;Die Veranstaltung beginnt um acht Uhr.
Das ist das Bild, das er mir gestern {{c1::gezeigt hat::has shown}}.;That's the picture he showed me yesterday.;Questa è la foto che mi ha mostrato ieri.;Das ist das Bild, das er mir gestern gezeigt hat.
