id,example_order,example_nl
core_000001,1,"De meisjes komen op de man en de vrouw afhollen."
core_000002,1,"Mijn vader en moeder gaan uit eten in het restaurant."
core_000003,1,"Het was koud in de slaapkamer."
core_000004,1,"Zijn ogen zijn sluw als die van een roofdier."
core_000005,1,"Ze ziet hem op het terras zitten."
core_000006,1,"Honden zijn aanhankelijke en trouwe dieren."
core_000007,1,"1) Het kind was ziek. 2) Het is niet anders."
core_000008,1,"Een man en een vrouw kunnen samen een kind adopteren."
core_000009,1,"a) Ik vind het leuk om voor hem te koken."
core_000009,2,"b) We staan voor de deur van het hotel."
core_000010,1,"a) Die vraag bracht iets teweeg wat me niet meer met rust laat."
core_000010,2,"b) Hij ging op de lakens liggen die haar geur vasthielden."
core_000011,1,"De vrouw reed met haar vriend mee naar de winkel."
core_000012,1,"Ze begon te huilen van blijdschap."
core_000013,1,"Je hebt een bleke huid."
core_000014,1,"Met de zaklamp was ze niet meer bang."
core_000015,1,"Hij geeft de bloemen aan Lena."
core_000016,1,"Toch hadden ze er vertrouwen in dat alles ook vandaag zou lukken."
core_000017,1,"De volgende ochtend werd er een lange wandeling gemaakt."
core_000018,1,"Ik krijg dorst als ik die fles zie staan."
core_000019,1,"We keken beiden uit over de rivier en zeiden niet veel."
core_000020,1,"Misschien kunnen we samen naar de markt gaan."
core_000021,1,"Hij vertelde dat hij zich beter voelde."
core_000022,1,"Ik wandelde om het plantsoen."
core_000023,1,"Deze pasfoto werd door de politie verspreid."
core_000024,1,"Als de beschuldiging klopt, werpt dat een ander licht op de zaak."
core_000025,1,"Ze is nog jong."
core_000026,1,"Het team speelde goed, maar slaagde er niet in te winnen."
core_000027,1,"Op het pleintje bij de kerk waren kinderen aan het spelen."
core_000028,1,"a) Ik was niet verliefd op haar, maar zij we op mij."
core_000028,2,"Men verwachtte dat ze binnenkort het ziekenhuis kon verlaten."
core_000028,3,"b) Zij vormen 85 procent van de bevolking."
core_000028,4,"Toen Schliemann in 1875 de skeletten aanraakte, verpulverden ze meteen tot stof."
core_000029,1,"Hij volgt haar naar de keuken."
core_000030,1,"Ik kom uit Amsterdam."
core_000031,1,"De jongens gingen op de fiets naar het strand."
core_000032,1,"Misschien komt hij met de wagen."
core_000033,1,"De filmpjes zullen te zien zijn via het internet."
core_000034,1,"Er reden allang geen trams of auto’s meer."
core_000035,1,"a) Zij klom over het hek."
core_000035,2,"b) Alle informatie over de camping vind je op de website."
core_000036,1,"Je moet beneden aan de trap je schoenen aan-en uitdoen."
core_000037,1,"Ik liep door het dorp."
core_000038,1,"Ze is al bijna aan het eind van het pad."
core_000039,1,"Er zat geen knop aan de deur."
core_000040,1,"Zwemmen, fietsen en dan nog eens lopen."
